Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country,Duration (m)
CENERE,Lazza,SIRIO,2022-04-07,71,208.323,False,65.2,62.8,119.856,IT,3.4720500000000003
Controtempo,Calcutta ,RELAX,2023-10-20,69,224.562,False,74.8,49.5,94.008,IT,3.7427
Non lo Sai,Shiva,Milano Demons,2022-11-25,73,228.454,False,58.5,67.80000000000001,127.959,IT,3.8075666666666668
Paradiso Artificiale (feat. Baby Gang & Kid Yugi),"Tedua, Baby Gang, Kid Yugi",La Divina Commedia,2023-06-02,75,162.411,False,74.3,69.3,104.522,IT,2.70685
In Mezzo ai Guai (feat. Neima Ezza),"Vale Pain, Neima Ezza",In Mezzo ai Guai (feat. Neima Ezza),2023-05-25,71,139.098,True,74.0,85.6,134.957,IT,2.3183000000000002
"Bentley (feat. Simba La Rue, J Lord)","Baby Gang, Simba La Rue, J Lord",INNOCENTE (Deluxe Edition),2023-10-13,71,119.329,True,51.6,74.3,86.578,IT,1.9888166666666665
CHIAGNE (feat. Lazza & Takagi & Ketra),"Geolier, Lazza, Takagi & Ketra",IL CORAGGIO DEI BAMBINI,2023-01-06,71,179.863,False,71.6,73.7,131.947,IT,2.997716666666667
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,229.477,False,59.6,65.8,100.012,GB,3.8246166666666666
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,146.436,False,79.3,51.2,109.994,GB,2.4406000000000003
Strangers,Kenya Grace,Strangers,2023-09-01,98,172.964,False,62.8,52.3,169.982,GB,2.8827333333333334
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),2023-10-26,86,180.381,False,62.9,41.3,77.983,GB,3.00635
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,279.833,False,62.6,54.7,109.946,GB,4.663883333333334
greedy,Tate McRae,greedy,2023-09-15,99,131.872,True,75.0,73.3,111.018,GB,2.197866666666667
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,231.0,False,57.49999999999999,82.39999999999999,94.971,GB,3.85
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,94,132.359,True,63.8,71.7,141.904,GB,2.2059833333333336
Water,Tyla,Water,2023-07-28,94,200.255,False,67.30000000000001,72.2,117.187,GB,3.3375833333333333
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,89,230.48,True,86.4,55.60000000000001,99.974,GB,3.841333333333333
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,84,171.818,False,69.89999999999999,62.1,118.048,GB,2.8636333333333335
Cruel Summer,Taylor Swift,Lover,2019-08-23,100,178.426,False,55.2,70.19999999999999,169.994,GB,2.9737666666666667
Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,231.833,False,73.7,72.5,96.012,GB,3.8638833333333333
Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,235.8,False,54.7,88.5,91.992,GB,3.93
Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,212.6,False,76.1,60.7,116.98,GB,3.5433333333333334
Sprinter,"Dave, Central Cee",Sprinter,2023-06-01,93,229.133,True,91.6,58.3,141.095,GB,3.8188833333333334
vampire,Olivia Rodrigo,GUTS,2023-09-08,96,219.724,True,51.1,53.2,138.005,GB,3.6620666666666666
Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,220.433,False,58.1,67.2,140.061,GB,3.6738833333333334
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,96,137.773,False,50.4,30.8,113.95,GB,2.2962166666666666
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,193.289,False,58.6,72.0,97.057,GB,3.221483333333333
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",2023-07-27,82,177.291,False,62.0,93.5,87.532,GB,2.95485
Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,219.209,False,63.2,80.7,160.055,GB,3.6534833333333334
New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,230.177,False,65.10000000000001,85.5,121.98,GB,3.8362833333333333
Stick Season,Noah Kahan,Stick Season,2022-10-14,88,182.346,False,66.2,48.8,117.913,GB,3.0391
I Wish You Would (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,207.65,False,66.9,85.1,118.026,GB,3.4608333333333334
Clean (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,271.0,False,77.10000000000001,38.6,103.96,GB,4.516666666666667
How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,247.533,False,75.4,68.2,120.027,GB,4.12555
Bad Blood (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,211.103,False,61.9,68.60000000000001,169.943,GB,3.5183833333333334
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,94,176.579,False,67.10000000000001,84.5,110.056,GB,2.9429833333333333
I Know Places (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,195.7,False,57.49999999999999,80.30000000000001,160.039,GB,3.2616666666666663
Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,245.566,False,46.2,70.8,183.811,GB,4.092766666666667
This Love (Taylor’s Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,250.1,False,47.4,51.1,144.022,GB,4.168333333333333
You Are In Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,267.389,False,53.7,49.5,84.948,GB,4.456483333333334
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,96,222.369,False,44.4,9.11,78.403,GB,3.70615
Disconnect,"Becky Hill, Chase & Status",Disconnect,2023-07-14,81,164.914,True,50.4,97.6,175.048,GB,2.7485666666666666
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,89,257.8,False,82.8,49.2,120.151,GB,4.296666666666667
adore u,"Fred again.., Obongjayar",adore u,2023-08-11,84,220.653,False,74.7,86.7,124.015,GB,3.6775499999999997
fukumean,Gunna,a Gift & a Curse,2023-06-16,95,125.04,True,84.7,62.2,130.001,GB,2.084
Asking,"Sonny Fodera, MK, Clementine Douglas",Asking,2023-07-07,79,191.59,False,47.7,85.39999999999999,126.965,GB,3.193166666666667
Mr. Brightside,The Killers,Hot Fuss,2004,88,222.973,False,35.2,91.1,148.033,GB,3.716216666666667
Anti-Hero,Taylor Swift,Midnights,2022-10-21,93,200.69,False,63.7,64.3,97.008,GB,3.3448333333333333
bad idea right?,Olivia Rodrigo,GUTS,2023-09-08,93,184.783,True,62.7,87.9,129.979,GB,3.0797166666666667
IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,2023-10-06,94,260.111,True,66.3,67.0,136.952,GB,4.335183333333333
One Of Your Girls,Troye Sivan,Something To Give Each Other,2023-10-13,87,181.481,False,62.9,65.4,93.034,GB,3.0246833333333334
Daylight,David Kushner,Daylight,2023-04-14,95,212.953,False,50.8,43.0,130.09,GB,3.5492166666666667
Kill Bill,SZA,SOS,2022-12-08,92,153.946,False,64.4,73.5,88.98,GB,2.5657666666666668
get him back!,Olivia Rodrigo,GUTS,2023-09-08,91,211.141,True,54.6,84.6,162.043,GB,3.5190166666666665
(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],2023-06-15,92,231.545,False,67.10000000000001,87.6,129.998,GB,3.859083333333333
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,92,244.36,True,44.5,53.7,122.769,GB,4.072666666666667
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,2023-10-06,88,319.191,True,64.5,72.89999999999999,146.01,GB,5.31985
